,tp,v
594,time-9,V3
595,time-9,V3
596,time-9,V3
597,time-9,V3
598,time-9,V3
599,time-9,V3
600,time-9,V3
601,time-9,V3
602,time-9,V3
603,time-9,V3
604,time-9,V3
605,time-9,V3
606,time-9,V3
607,time-9,V3
608,time-9,V3
609,time-9,V3
610,time-9,V3
611,time-9,V3
612,time-9,V3-11*01
613,time-9,V3-11*01
614,time-9,V3-11*01
615,time-9,V3-11*04
616,time-9,V3-11*04
617,time-9,V3-11*04
618,time-9,V3-11*04
619,time-9,V3-11*04
620,time-9,V3-11*04
621,time-9,V3-11*05
622,time-9,V3-11*05
623,time-9,V3-11*06
624,time-9,V3-11
625,time-9,V3-13*01
626,time-9,V3-13*01
627,time-9,V3-13*01
628,time-9,V3-15*01
629,time-9,V3-15*01
630,time-9,V3-15*01
631,time-9,V3-15*01
632,time-9,V3-15*01
633,time-9,V3-15*01
634,time-9,V3-15*01
635,time-9,V3-15*01
636,time-9,V3-15*01
637,time-9,V3-15*01
638,time-9,V3-15*01
639,time-9,V3-15*01
640,time-9,V3-15*01
641,time-9,V3-15*05
642,time-9,V3-15*06
643,time-9,V3-15*07
644,time-9,V3-15*07
645,time-9,V3-15*07
646,time-9,V3-21*01
647,time-9,V3-21*01
648,time-9,V3-21*01
649,time-9,V3-21*01
650,time-9,V3-21*01
651,time-9,V3-21*01
652,time-9,V3-21*01
653,time-9,V3-21*01
654,time-9,V3-21*01
655,time-9,V3-21*01
656,time-9,V3-21*01
657,time-9,V3-21*01
658,time-9,V3-21*01
659,time-9,V3-21*01
660,time-9,V3-21*01
661,time-9,V3-21*01
662,time-9,V3-21*01
663,time-9,V3-21*01
664,time-9,V3-21*01
665,time-9,V3-21*02
666,time-9,V3-21*02
667,time-9,V3-21*02
668,time-9,V3-21*02
669,time-9,V3-23*01
670,time-9,V3-23*01
671,time-9,V3-23*01
672,time-9,V3-23*01
673,time-9,V3-23*01
674,time-9,V3-23*01
675,time-9,V3-23*01
676,time-9,V3-23*01
677,time-9,V3-23*01
678,time-9,V3-23*01
679,time-9,V3-23*01
680,time-9,V3-23*01
681,time-9,V3-23*01
682,time-9,V3-23*01
683,time-9,V3-23*01
684,time-9,V3-23*01
685,time-9,V3-23*01
686,time-9,V3-23*01
687,time-9,V3-23*01
688,time-9,V3-23*01
689,time-9,V3-23*01
690,time-9,V3-23*01
691,time-9,V3-23*01
692,time-9,V3-23*01
693,time-9,V3-23*01
694,time-9,V3-23*01
695,time-9,V3-23*02
696,time-9,V3-23*04
697,time-9,V3-23*04
698,time-9,V3-23*04
699,time-9,V3-23*04
700,time-9,V3-23*04
701,time-9,V3-23*04
702,time-9,V3-23*04
703,time-9,V3-23*04
704,time-9,V3-23*04
705,time-9,V3-23*04
706,time-9,V3-23*04
707,time-9,V3-23*04
708,time-9,V3-23*04
709,time-9,V3-23*04
710,time-9,V3-23*04
711,time-9,V3-23*04
712,time-9,V3-23*04
713,time-9,V3-23*04
714,time-9,V3-23*04
715,time-9,V3-23*04
716,time-9,V3-23*04
717,time-9,V3-23*04
718,time-9,V3-23*04
719,time-9,V3-23*05
720,time-9,V3-23*05
721,time-9,V3-23*05
722,time-9,V3-23*05
723,time-9,V3-23*05
724,time-9,V3-23*05
725,time-9,V3-23*05
726,time-9,V3-23*05
727,time-9,V3-23*05
728,time-9,V3-23*05
729,time-9,V3-23*05
730,time-9,V3-23*05
731,time-9,V3-23*05
732,time-9,V3-23*05
733,time-9,V3-23*05
734,time-9,V3-23*05
735,time-9,V3-23*05
736,time-9,V3-23*05
737,time-9,V3-23*05
738,time-9,V3-23*05
739,time-9,V3-23*05
740,time-9,V3-23*05
741,time-9,V3-23*05
742,time-9,V3-23*05
743,time-9,V3-23*05
744,time-9,V3-23*05
745,time-9,V3-23*05
746,time-9,V3-30*03
747,time-9,V3-30*03
748,time-9,V3-30*03
749,time-9,V3-30*03
750,time-9,V3-30*18
751,time-9,V3-30*18
752,time-9,V3-30*18
753,time-9,V3-30*18
754,time-9,V3-30*18
755,time-9,V3-30*18
756,time-9,V3-30*18
757,time-9,V3-30*18
758,time-9,V3-30*18
759,time-9,V3-30*18
760,time-9,V3-30*18
761,time-9,V3-30*18
762,time-9,V3-30*18
763,time-9,V3-30*18
764,time-9,V3-30*18
765,time-9,V3-30*18
766,time-9,V3-30*18
767,time-9,V3-30*18
768,time-9,V3-30
769,time-9,V3-30
770,time-9,V3-30
771,time-9,V3-30-3*01
772,time-9,V3-30-3*01
773,time-9,V3-30-3*01
774,time-9,V3-30-3*01
775,time-9,V3-30-3*01
776,time-9,V3-30-3*01
777,time-9,V3-30-3*01
778,time-9,V3-30-3*02
779,time-9,V3-33*01
780,time-9,V3-33*01
781,time-9,V3-33*01
782,time-9,V3-33*01
783,time-9,V3-33*01
784,time-9,V3-33*01
785,time-9,V3-33*01
786,time-9,V3-33*01
787,time-9,V3-33*01
788,time-9,V3-33*02
789,time-9,V3-33*02
790,time-9,V3-33*02
791,time-9,V3-33*02
792,time-9,V3-33*02
793,time-9,V3-33*03
794,time-9,V3-33*04
795,time-9,V3-33*05
796,time-9,V3-33*06
797,time-9,V3-33*06
798,time-9,V3-38-3*01
799,time-9,V3-43*01
800,time-9,V3-43*01
801,time-9,V3-43*01
802,time-9,V3-43*01
803,time-9,V3-43*01
804,time-9,V3-43D*01
805,time-9,V3-48*02
806,time-9,V3-48*02
807,time-9,V3-48*02
808,time-9,V3-48*02
809,time-9,V3-48*02
810,time-9,V3-48*02
811,time-9,V3-48*02
812,time-9,V3-48*02
813,time-9,V3-48*02
814,time-9,V3-48*02
815,time-9,V3-48*02
816,time-9,V3-48*02
817,time-9,V3-48*02
818,time-9,V3-48*02
819,time-9,V3-48*02
820,time-9,V3-48*02
821,time-9,V3-48*02
822,time-9,V3-48*02
823,time-9,V3-48*02
824,time-9,V3-48*02
825,time-9,V3-48*02
826,time-9,V3-48*02
827,time-9,V3-48*02
828,time-9,V3-48*02
829,time-9,V3-48*02
830,time-9,V3-48*02
831,time-9,V3-48*02
832,time-9,V3-48*03
833,time-9,V3-48*03
834,time-9,V3-48*03
835,time-9,V3-48*03
836,time-9,V3-48*03
837,time-9,V3-48*03
838,time-9,V3-48*03
839,time-9,V3-48*03
840,time-9,V3-48*03
841,time-9,V3-48*03
842,time-9,V3-48*03
843,time-9,V3-48*03
844,time-9,V3-48*03
845,time-9,V3-48*04
846,time-9,V3-48*04
847,time-9,V3-48*04
848,time-9,V3-49*03
849,time-9,V3-49*03
850,time-9,V3-49*03
851,time-9,V3-49*04
852,time-9,V3-49*04
853,time-9,V3-49*04
854,time-9,V3-49*04
855,time-9,V3-49*04
856,time-9,V3-49*04
857,time-9,V3-49*04
858,time-9,V3-49*04
859,time-9,V3-53*01
860,time-9,V3-53*01
861,time-9,V3-53*01
862,time-9,V3-53*01
863,time-9,V3-53*01
864,time-9,V3-53*01
865,time-9,V3-53*01
866,time-9,V3-53*01
867,time-9,V3-53*01
868,time-9,V3-53*01
869,time-9,V3-53*01
870,time-9,V3-53*01
871,time-9,V3-53*01
872,time-9,V3-53*01
873,time-9,V3-53*01
874,time-9,V3-53*01
875,time-9,V3-53*01
876,time-9,V3-53*02
877,time-9,V3-53*02
878,time-9,V3-53*03
879,time-9,V3-53*03
880,time-9,V3-64*01
881,time-9,V3-64*01
882,time-9,V3-64
883,time-9,V3-64
884,time-9,V3-7*01
885,time-9,V3-7*01
886,time-9,V3-7*01
887,time-9,V3-7*01
888,time-9,V3-7*01
889,time-9,V3-7*01
890,time-9,V3-7*01
